Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank,Year,Institute_ID,UG_Students,Total_Students,Capital_Expenditure,Operational_Expenditure,Total_Expenditure,WOS_Publications,WOS_Citations,Scopus_Publications
IR-O-U-0234,Manipal Academy of Higher Education,77.91,38.31,69.71,66.78,30.21,Manipal,Karnataka,58.5,16,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0323,Savitribai Phule Pune University,69.26,44.42,86.04,54.34,16.55,Pune,Maharashtra,58.4,17,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0496,Aligarh Muslim University,76.69,35.38,85.67,57.56,18.46,Aligarh,Uttar Pradesh,58.36,18,2019,IR-E-U-0496,385.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0108,Jamia Millia Islamia,73.74,32.04,88.53,71.97,14.26,New Delhi,Delhi,58.07,19,2019,IR-E-U-0108,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0120,University of Delhi,47.87,53.79,87.18,55.4,41.11,Delhi,Delhi,57.59,20,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0447,Bharathiar University,66.93,45.04,76.53,52.11,31.2,Coimbatore,Tamil Nadu,57.23,21,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0013,Indian Institute of Technology Hyderabad,70.91,40.82,67.47,58.77,40.33,Hyderabad,Telangana,56.92,22,2019,IR-E-U-0013,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0305,Indian Institute of Science Education & Research Pune,70.53,42.05,57.13,60.11,32.75,Pune,Maharashtra,54.48,23,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0467,National Institute of Technology Tiruchirappalli,61.25,34.72,70.89,62.89,50.61,Tiruchirappalli,Tamil Nadu,54.32,24,2019,IR-E-U-0467,884.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,54.72,50.98,76.0,39.42,25.54,Dhanbad,Jharkhand,53.4,25,2019,IR-E-U-0205,824.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-S-8972,Indian Institute of Management Calcutta,78.8,17.12,62.55,67.62,46.34,Kolkata,West Bengal,52.68,26,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0308,Institute of Chemical Technology,54.67,48.4,72.61,51.49,20.28,Mumbai,Maharashtra,52.62,27,2019,IR-E-U-0308,211.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,62.09,39.44,68.32,54.48,29.2,Varanasi,Uttar Pradesh,52.49,28,2019,IR-E-U-0701,815.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0006,Andhra University,69.36,23.16,86.61,55.73,14.55,Visakhapatnam,Andhra Pradesh,52.11,29,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0304,Homi Bhabha National Institute,83.26,25.24,71.18,47.29,4.33,Mumbai,Maharashtra,51.95,30,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0107,Jamia Hamdard,69.64,29.92,74.12,63.52,6.86,New Delhi,Delhi,51.73,31,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
